56		-18		-3		-18		-32		10		-3		10		-2		
-18		176		-18		-32		-96		-32		10		0		10		
-3		-18		56		10		-32		-18		-2		10		-3		
-18		-32		10		176		-96		0		-18		-32		10		
-32		-96		-32		-96		512		-96		-32		-96		-32		
10		-32		-18		0		-96		176		10		-32		-18		
-3		10		-2		-18		-32		10		56		-18		-3		
10		0		10		-32		-96		-32		-18		176		-18		
-2		10		-3		10		-32		-18		-3		-18		56		



16		8		-4		8		4		-2		-4		-2		1		
8		64		8		4		32		4		-2		-16		-2		
-4		8		16		-2		4		8		1		-2		-4		
8		4		-2		64		32		-16		8		4		-2		
4		32		4		32		256		32		4		32		4		
-2		4		8		-16		32		64		-2		4		8		
-4		-2		1		8		4		-2		16		8		-4		
-2		-16		-2		4		32		4		8		64		8		
1		-2		-4		-2		4		8		-4		8		16		



72		-10		-7		-10		-28		8		-7		8		-1		
-10		240		-10		-28		-64		-28		8		-16		8		
-7		-10		72		8		-28		-10		-1		8		-7		
-10		-28		8		240		-64		-16		-10		-28		8		
-28		-64		-28		-64		768		-64		-28		-64		-28		
8		-28		-10		-16		-64		240		8		-28		-10		
-7		8		-1		-10		-28		8		72		-10		-7		
8		-16		8		-28		-64		-28		-10		240		-10		
-1		8		-7		8		-28		-10		-7		-10		72		
